week,period,bathroom accessories_pv,bathroom cabinets_pv,bathroom fixture parts_pv,bathroom fixtures_pv,bathroom shelves_pv,bathroom vanities and sink consoles_pv,medicine cabinets_pv,towel bars and hooks_pv,towels_pv,vanity stools and benches_pv,vanity tops and side splashes_pv,bathroom accessories_cm,bathroom cabinets_cm,bathroom fixture parts_cm,bathroom fixtures_cm,bathroom shelves_cm,bathroom vanities and sink consoles_cm,medicine cabinets_cm,towel bars and hooks_cm,towels_cm,vanity stools and benches_cm,vanity tops and side splashes_cm
2019-12-30,pre,5822.0,1022.0,13441.0,28190.0,620.0,49234.0,2853.0,3524.0,145.0,1252.0,396.0,831.2100720771011,95.33261195515827,21.034810498714243,3572.798948596332,170.17778562561392,8711.246399844527,727.5342723291915,154.87059665698993,8.154607863969119,238.73350328765824,-13.069366201861458
2020-01-06,pre,7324.0,1372.0,20367.0,38051.0,681.0,63186.0,3512.0,4614.0,193.0,1072.0,573.0,1456.0516238785403,339.8108312496335,408.4726666695967,6851.347117430274,120.08011235231574,17476.484863765978,534.9044264346928,289.28904050805835,52.353575053054016,80.50869025473085,33.37768394788111
2020-01-13,pre,9238.0,1395.0,23051.0,43866.0,687.0,73758.0,4544.0,5418.0,441.0,1445.0,542.0,1655.2388645479894,407.65362005872134,982.8876797542312,7009.459510555841,82.11619155111272,23340.118315829266,1014.5317642907821,650.628709870755,78.45818272389873,184.88682943898743,-1.6889799440934257
2020-01-20,pre,8565.0,1356.0,21926.0,45359.0,594.0,78287.0,5097.0,5676.0,322.0,1145.0,771.0,1775.075569975556,41.586403215420304,517.0654091051198,3529.3291301039753,136.22598797145577,17544.086310965024,252.95295261117383,568.4026676378253,32.39942640736203,293.5256360435742,-64.94814140695657
2020-01-27,pre,7334.0,1319.0,21057.0,41959.0,585.0,63114.0,3986.0,5076.0,118.0,839.0,432.0,1080.7491240326679,96.42651800313489,319.1555873055366,1903.4638207503892,111.3399311007785,16397.37235333155,3703.6001303992566,484.5408254976611,5.329979213526752,198.68690092684727,0.0
2020-02-03,pre,6804.0,1447.0,12068.0,32411.0,564.0,67277.0,3847.0,3589.0,99.0,863.0,609.0,1593.6105586935694,1020.3567044753738,519.3719907526508,7065.709716524285,31.431776999750753,22079.029612098268,1809.70797745744,1400.7287125466128,19.961317509807316,187.88307137635775,-18.773004057124584
2020-02-10,pre,7202.0,1518.0,13595.0,35721.0,528.0,69441.0,3976.0,4009.0,97.0,828.0,523.0,1191.3424207103733,232.1273003316008,675.0318387681114,5589.823163762631,102.55674137060292,33451.47583291841,4155.748171684507,652.5978684847581,5.93400203387319,142.7188119860072,47.07328988208885
2020-02-17,pre,7015.0,1496.0,12753.0,32618.0,652.0,66791.0,4699.0,3689.0,78.0,737.0,683.0,1566.8554183440717,-390.228903025475,938.979322545808,866.5301344613555,202.37290616421976,10847.427805520052,2774.4839293282007,980.854980146716,-34.408584870101194,-939.1586675845485,286.2771611908499
2020-02-24,pre,8130.0,1317.0,18694.0,42441.0,637.0,67577.0,4055.0,5254.0,90.0,753.0,801.0,1173.9311698912431,97.54084779772498,1206.1809894103742,5950.415631787321,40.32721302765901,24073.92395282372,2106.196357740571,579.5073441489878,38.5979951902525,424.7588171946988,-18.986594354040843
2020-03-02,pre,8981.0,1432.0,17940.0,42356.0,805.0,69845.0,3820.0,5561.0,511.0,830.0,484.0,1614.011122356965,607.0158795105974,335.3452334823759,4188.500049379508,27.81929622402577,21572.067578671667,1453.7822402341283,935.7534782149288,-2.8892065758431995,76.92793894689964,-9.36
2020-03-09,pre,9221.0,1407.0,19084.0,40596.0,795.0,69776.0,3102.0,5165.0,621.0,647.0,472.0,1815.9839704047508,583.4158739151486,1121.740338711348,7926.217996651013,36.861311779206275,23863.015956101623,928.0282934394512,168.06564669788986,35.5361751094582,787.875481464064,91.44593567301833
2020-03-16,pre,12943.0,1254.0,18640.0,40160.0,1052.0,66940.0,2976.0,6102.0,1516.0,896.0,388.0,1880.6901193122392,303.3093459313894,1100.593786378702,5970.941846617089,57.512105506642314,14202.872823835849,5023.059074186311,1408.8662015006282,3.1377892956737985,1666.1950022080325,-0.56
2020-03-23,pre,15141.0,1433.0,15232.0,40187.0,1093.0,53696.0,3582.0,6072.0,3612.0,1320.0,461.0,1638.4410502723854,-149.2222883444644,430.2238812781362,5277.01839565437,217.2924621617908,14840.628427761305,828.4732526340838,358.23685702681735,318.5069856459233,234.73537225483568,-8.290000000000001
2020-03-30,pre,15357.0,1515.0,19574.0,42534.0,1347.0,50930.0,2972.0,6447.0,3939.0,1116.0,558.0,1812.7452205906206,301.7522277642464,925.7459365879059,4421.051776776881,181.0067734754207,29501.786959039455,1705.0787343898894,651.6166894284416,31.495906506425463,379.76511247768804,57.682761627505215
2020-04-06,pre,16834.0,1970.0,23378.0,51825.0,1227.0,59632.0,3325.0,6721.0,5009.0,1147.0,538.0,2796.5728333556735,-24.962801238501775,280.57710345759546,4842.07080608662,297.8370270295072,25763.185618800126,2491.792546433296,980.6126146411366,87.4186648382961,139.48108017337248,59.059408240882505
2020-04-13,pre,17667.0,2056.0,25810.0,58455.0,1283.0,66203.0,3552.0,7136.0,4380.0,1328.0,864.0,2137.5371706694204,907.696320106958,888.0860519245398,4679.828698959823,282.53973745347275,33942.51674783233,3402.572419150929,-67.38665407144846,179.74097974341683,98.3737938031598,20.343391198048213
2020-04-20,pre,17823.0,1761.0,26785.0,60429.0,1457.0,71864.0,3381.0,7160.0,212.0,1339.0,603.0,2539.0383169840184,485.4362866559228,1657.7479313088809,7290.6382756426765,135.46918698320317,37199.48874733035,1551.5824127296735,1180.1080690268489,-10.70929891658258,811.7981333889942,-66.93844875258372
2020-04-27,pre,17844.0,1742.0,26870.0,60535.0,1063.0,72871.0,3763.0,7173.0,1322.0,1315.0,728.0,3300.5758725213927,1258.680416513002,587.0561780644858,6202.0748450515985,43.94503245924166,42173.8931780306,3347.573488880065,884.5136776278264,34.49193629465048,670.7198373656731,72.65262231215549
2020-05-04,pre,18345.0,1623.0,29549.0,60785.0,1334.0,64025.0,3646.0,7537.0,1786.0,1187.0,643.0,2598.7697415919843,606.5665840410965,917.9784600787825,9423.49850900982,360.78297684265743,28029.890196353823,3148.0811883831575,1389.5092256443186,23.801127211387453,588.194167350785,-11.19
2020-05-11,pre,18468.0,1784.0,28630.0,57577.0,1191.0,72756.0,3903.0,7089.0,3846.0,1058.0,639.0,2613.470283969793,524.4369799710192,443.82609496429234,10191.281558939276,104.9471075010189,30200.43349478795,2275.5725924195594,1101.3078430272858,4.574479254837662,189.61434009734995,104.26360000000005
2020-05-18,pre,10497.0,1722.0,10265.0,33954.0,966.0,83850.0,4137.0,3182.0,1546.0,960.0,698.0,3012.490142722482,-70.73005874492937,1490.222988283846,9904.286926222061,226.01027770279788,32052.593852263686,4708.471158179303,572.6376389765935,269.5177981523852,156.49238877909164,-8.27834539375096
2020-05-25,pre,7312.0,1506.0,6779.0,24227.0,531.0,72964.0,3415.0,2240.0,475.0,785.0,689.0,3194.9656316455244,80.9878497815329,186.21383058761077,7045.375267647431,103.74566906954874,44665.89997823622,2812.0323911590526,885.0456907831942,223.7994977037096,153.66577536106837,0.27624433760229083
2020-06-01,pre,6838.0,1618.0,6565.0,26177.0,561.0,83437.0,3392.0,1997.0,266.0,602.0,559.0,2670.5620748841898,416.7087251261817,584.1965973393094,5810.964892945326,121.34327533856157,31358.390335185184,3149.929810676643,779.1084273307042,-5.387836326035745,386.42206208635037,8.002233033319182
2020-06-08,pre,7379.0,1721.0,6598.0,27013.0,622.0,88479.0,4231.0,2064.0,525.0,659.0,508.0,2252.5053307591184,1476.948874025311,152.909202996124,7304.568690477186,-8.104542923252957,34659.282425701036,4825.156613528772,627.5287102826861,82.1979517852945,484.51885243670205,706.13322777054
2020-06-15,pre,7283.0,1723.0,5390.0,23769.0,555.0,65432.0,3853.0,2464.0,485.0,663.0,587.0,1846.3990431207376,-126.47295237680203,1069.3945678470695,5972.957824242146,-11.305450704225358,29441.42663838889,2240.250715534536,1578.1753731950844,97.59413072820067,184.15016088307272,-502.6205004684186
2020-06-22,pre,8210.0,1901.0,4935.0,23617.0,668.0,77428.0,3982.0,2365.0,430.0,659.0,720.0,1878.992481666831,180.25045194714852,101.44607120956094,8669.592242682811,181.4624161065753,30622.58962702717,3301.2391556864395,505.15080905899157,56.697354497950336,124.21329881651437,95.67975525786552
2020-06-29,pre,8190.0,1653.0,4737.0,23625.0,700.0,84485.0,4010.0,2158.0,458.0,790.0,612.0,1931.8253211452527,246.10116064754334,820.7070355836229,4957.426481015209,82.2542128634993,32580.336034557426,2188.02975785715,714.8654216616736,264.75262718259427,659.7672669621357,-235.6365630583915
2020-07-06,pre,7707.0,1729.0,5635.0,26197.0,587.0,93668.0,4493.0,2193.0,225.0,795.0,594.0,2266.0186089472263,-49.80274811907259,354.81202952824174,11726.537019235506,315.8691622019445,33258.56191549779,3088.9629099617714,1153.2300205209465,63.94234616346227,529.1405501804591,-835.521709236678
2020-07-13,pre,8160.0,1524.0,5742.0,26825.0,608.0,87867.0,4563.0,2371.0,375.0,902.0,817.0,2382.2175873647675,1036.7672704428148,994.3705221404824,7474.922942369211,58.1853243510095,38525.64616168906,2159.0730010039233,906.260481210404,99.74800456085127,385.70736270028453,60.01059325522144
2020-07-20,pre,7928.0,1365.0,5635.0,25294.0,555.0,73821.0,4320.0,2687.0,260.0,772.0,638.0,1845.56668295422,488.01118543444716,1522.949603998433,6086.388610585091,5.342113078190943,26354.65297570534,2563.4246991952077,1355.4818661690908,-3.680199199652746,241.8534532821552,43.32290029182552
2020-07-27,pre,7487.0,1461.0,5505.0,25711.0,470.0,73170.0,4170.0,2525.0,264.0,996.0,460.0,1899.1589474039222,88.52081934840677,938.4471545336286,7737.668033450089,168.04425891811456,35667.45146351572,1312.145287735548,1433.8124569555766,43.26806181577094,403.10570394666837,33.18359439048495
2020-08-03,pre,7569.0,1617.0,5977.0,25428.0,518.0,73539.0,4368.0,2385.0,187.0,1199.0,612.0,2132.8070114178663,365.7057907581052,868.3470347703121,6526.009581630208,164.60939527948943,39742.13297498996,2833.745143491745,1125.900580630825,14.431348085363004,301.94236195311044,-11.87
2020-08-10,pre,7462.0,1973.0,7999.0,27079.0,634.0,80883.0,4535.0,2653.0,154.0,964.0,632.0,1948.4166345827136,620.3015846335811,65.82652288773323,10598.64588849269,188.7056533060339,39536.98233898732,4423.690646829132,1106.146861056486,84.33179846097929,89.33106764052735,-22.169999999999998
