week,period,dining chairs_pv,dining tables_pv,dining chairs_cm,dining tables_cm
2019-12-30,pre,19383.0,10182.0,3214.9653866503268,1811.5931369731475
2020-01-06,pre,23427.0,12591.0,3787.255067734036,2196.6493381647924
2020-01-13,pre,20707.0,11897.0,6690.024250950819,-3009.786515408627
2020-01-20,pre,23485.0,12789.0,3954.628975840895,-3109.505154682825
2020-01-27,pre,25084.0,13314.0,6627.4903186184565,3085.5672824671847
2020-02-03,pre,26909.0,12596.0,12211.52154345428,292.99740360183387
2020-02-10,pre,22120.0,12043.0,3418.3554089181976,727.7887115980895
2020-02-17,pre,23012.0,13052.0,8251.409654894866,3023.812993425941
2020-02-24,pre,21640.0,13282.0,2592.021801459447,1233.9849167265866
2020-03-02,pre,22853.0,12879.0,4811.860914546614,1187.550730123
2020-03-09,pre,19060.0,10958.0,2462.209633254972,1225.0154901551487
2020-03-16,pre,22658.0,10918.0,4343.382402276142,1790.9407129321107
2020-03-23,pre,29086.0,15328.0,3404.8939373988883,3124.0420617272543
2020-03-30,pre,27983.0,13563.0,5818.3708744235055,1680.0525885677407
2020-04-06,pre,28710.0,15710.0,5536.977007597834,2371.962267074222
2020-04-13,pre,35999.0,20287.0,10075.30595737617,4392.047929538494
2020-04-20,pre,40804.0,20697.0,18670.229724177516,5838.669762291707
2020-04-27,pre,40435.0,20213.0,11304.71130529782,873.0973649212099
2020-05-04,pre,33749.0,16522.0,10079.6640330505,7594.370823197851
2020-05-11,pre,31578.0,15444.0,8620.824545147118,5478.745136460658
2020-05-18,pre,33682.0,17570.0,10728.309187660683,343.9851677137933
2020-05-25,pre,31748.0,17078.0,5522.215161231233,6824.018297522149
2020-06-01,pre,21557.0,13386.0,6379.146493562595,2279.636612017634
2020-06-08,pre,24348.0,13641.0,9560.603063541237,1030.0622062257266
2020-06-15,pre,26373.0,15183.0,10032.949664768681,-6593.093544962984
2020-06-22,pre,29438.0,17226.0,11205.676869517654,1843.8676458303441
2020-06-29,pre,29312.0,17629.0,11077.317114200321,1542.9248170741303
2020-07-06,pre,30163.0,16726.0,9680.79970803612,4863.67845846167
2020-07-13,pre,30492.0,16465.0,9144.639512150145,-5171.341901030154
2020-07-20,pre,28910.0,16412.0,9068.97819528723,2631.7130137080326
2020-07-27,pre,28740.0,16018.0,9080.987382812695,1703.1956603641127
2020-08-03,pre,29642.0,16485.0,15950.468066500916,5673.458975177104
2020-08-10,pre,34091.0,18816.0,16166.833664371585,9111.153084620128
