week,period,bathroom accessories_pv,bathroom cabinets_pv,bathroom fixture parts_pv,bathroom fixtures_pv,bathroom shelves_pv,bathroom vanities and sink consoles_pv,medicine cabinets_pv,towel bars and hooks_pv,towels_pv,vanity stools and benches_pv,vanity tops and side splashes_pv,bathroom accessories_gmv,bathroom cabinets_gmv,bathroom fixture parts_gmv,bathroom fixtures_gmv,bathroom shelves_gmv,bathroom vanities and sink consoles_gmv,medicine cabinets_gmv,towel bars and hooks_gmv,towels_gmv,vanity stools and benches_gmv,vanity tops and side splashes_gmv
2019-12-30,pre,5822.0,1022.0,13441.0,28190.0,620.0,49234.0,2853.0,3524.0,145.0,1252.0,396.0,5066.4699999999975,601.5699999999999,1973.3300000000002,23252.89,584.99,145374.91,3203.09,1500.83,72.76,1078.13,284.99
2020-01-06,pre,7324.0,1372.0,20367.0,38051.0,681.0,63186.0,3512.0,4614.0,193.0,1072.0,573.0,7558.34,1476.57,6966.65,56091.420000000006,664.85,196471.38,4797.46,2966.87,314.4,1164.7,131.98
2020-01-13,pre,9238.0,1395.0,23051.0,43866.0,687.0,73758.0,4544.0,5418.0,441.0,1445.0,542.0,7578.399999999998,1813.4299999999998,4762.999999999999,47061.74,411.94000000000005,238365.21,8286.359999999999,4432.179999999999,453.29,1049.83,774.19
2020-01-20,pre,8565.0,1356.0,21926.0,45359.0,594.0,78287.0,5097.0,5676.0,322.0,1145.0,771.0,7974.289999999998,738.55,7857.369999999998,42688.01000000002,635.92,212334.62000000002,17924.52,3892.9799999999996,140.02,3028.8900000000003,612.97
2020-01-27,pre,7334.0,1319.0,21057.0,41959.0,585.0,63114.0,3986.0,5076.0,118.0,839.0,432.0,8476.089999999995,284.0,4980.319999999999,42734.58,730.1700000000001,218436.84000000003,15267.67,5338.649999999999,98.31,1027.96,0.0
2020-02-03,pre,6804.0,1447.0,12068.0,32411.0,564.0,67277.0,3847.0,3589.0,99.0,863.0,609.0,8095.779999999998,5343.3,8277.109999999999,60148.219999999994,560.6700000000001,252488.84000000003,10132.099999999999,6434.267152069669,79.96000000000001,917.15,130.98
2020-02-10,pre,7202.0,1518.0,13595.0,35721.0,528.0,69441.0,3976.0,4009.0,97.0,828.0,523.0,6652.5999999999985,3806.1100000000006,11452.96,48907.509999999995,290.6,245235.83000000002,19123.5,3489.959999999999,62.96,528.57,714.99
2020-02-17,pre,7015.0,1496.0,12753.0,32618.0,652.0,66791.0,4699.0,3689.0,78.0,737.0,683.0,8495.97,1344.05,7862.579999999999,50811.64,1087.11,264177.97,15910.379999999997,4865.8099999999995,101.98,1586.97,1404.99
2020-02-24,pre,8130.0,1317.0,18694.0,42441.0,637.0,67577.0,4055.0,5254.0,90.0,753.0,801.0,7899.5,3385.01,12548.829999999998,51180.41,660.35,313644.23,15114.379999999997,3846.5099999999993,239.90000000000003,2152.74,90.99000000000001
2020-03-02,pre,8981.0,1432.0,17940.0,42356.0,805.0,69845.0,3820.0,5561.0,511.0,830.0,484.0,9052.889999999998,3308.17,7898.759999999999,44818.729999999996,380.98,271648.02,16868.57,6745.959999999999,34.99,636.67,0.0
2020-03-09,pre,9221.0,1407.0,19084.0,40596.0,795.0,69776.0,3102.0,5165.0,621.0,647.0,472.0,9190.859999999999,3517.59,11039.619999999999,54980.43,499.94,227740.47999999998,14426.75,3398.43,305.97,2208.49,429.0
2020-03-16,pre,12943.0,1254.0,18640.0,40160.0,1052.0,66940.0,2976.0,6102.0,1516.0,896.0,388.0,7924.099999999997,3866.06,7120.039999999999,41904.85,295.97,196245.67,23142.84,6661.49,45.980000000000004,4699.17,0.0
2020-03-23,pre,15141.0,1433.0,15232.0,40187.0,1093.0,53696.0,3582.0,6072.0,3612.0,1320.0,461.0,8750.779999999997,3548.6600000000003,9672.779999999995,36959.119999999995,1087.95,193333.29,9766.0,5022.539999999999,887.71,2058.38,0.0
2020-03-30,pre,15357.0,1515.0,19574.0,42534.0,1347.0,50930.0,2972.0,6447.0,3939.0,1116.0,558.0,8196.48,3272.76,8813.499999999998,46362.1,877.95,218835.55000000002,9592.1,4726.389999999999,121.98,1770.56,475.0
2020-04-06,pre,16834.0,1970.0,23378.0,51825.0,1227.0,59632.0,3325.0,6721.0,5009.0,1147.0,538.0,11716.929999999995,2278.0,4139.9400000000005,41084.84,1101.29,222597.84999999998,17645.08,5788.86,303.96,1032.8400000000001,604.99
2020-04-13,pre,17667.0,2056.0,25810.0,58455.0,1283.0,66203.0,3552.0,7136.0,4380.0,1328.0,864.0,10382.949999999993,3508.88,9839.32,49324.83,2143.9300000000003,242154.55000000002,15879.689999999999,4826.33,566.7800000000001,956.99,423.96000000000004
2020-04-20,pre,17823.0,1761.0,26785.0,60429.0,1457.0,71864.0,3381.0,7160.0,212.0,1339.0,603.0,10467.939999999997,2514.85,7926.479999999998,60212.05,942.0,257960.51,8289.24,6697.519999999999,110.28999999999999,3787.67,3836.97
2020-04-27,pre,17844.0,1742.0,26870.0,60535.0,1063.0,72871.0,3763.0,7173.0,1322.0,1315.0,728.0,12906.049999999996,8147.77,8007.839999999999,45799.37999999999,551.97,326208.17000000004,17164.08,5249.48,788.71,3960.31,700.6
2020-05-04,pre,18345.0,1623.0,29549.0,60785.0,1334.0,64025.0,3646.0,7537.0,1786.0,1187.0,643.0,12030.699999999992,3907.2,6904.139999999999,62329.42,1589.3600000000001,263991.78,11270.0,6924.73,157.97,2326.85,0.0
2020-05-11,pre,18468.0,1784.0,28630.0,57577.0,1191.0,72756.0,3903.0,7089.0,3846.0,1058.0,639.0,11582.449999999997,3377.0,9630.229999999998,69355.73999999999,729.93,226120.69,10930.869999999999,6171.9800000000005,504.95,816.0,729.0
2020-05-18,pre,10497.0,1722.0,10265.0,33954.0,966.0,83850.0,4137.0,3182.0,1546.0,960.0,698.0,12201.859999999999,1349.58,12828.47,53809.590000000004,1461.4,300412.61,18173.739999999998,4867.85,653.7600000000002,1287.95,99.97999999999999
2020-05-25,pre,7312.0,1506.0,6779.0,24227.0,531.0,72964.0,3415.0,2240.0,475.0,785.0,689.0,13057.289999999999,2899.0,10929.379999999997,47115.630000000005,479.92,317502.9,18566.239999999998,5934.0,857.7900000000001,1024.35,873.49
2020-06-01,pre,6838.0,1618.0,6565.0,26177.0,561.0,83437.0,3392.0,1997.0,266.0,602.0,559.0,12449.89,2223.54,9137.69,45099.15,970.08,235374.38999999998,10319.66,3428.65,79.96000000000001,1062.0,103.98
