week,period,dining chairs_pv,dining tables_pv,dining chairs_gmv,dining tables_gmv
2019-12-30,pre,19383.0,10182.0,42530.369999999995,13813.21
2020-01-06,pre,23427.0,12591.0,35235.07000000001,11553.859999999999
2020-01-13,pre,20707.0,11897.0,61843.229999999996,28442.089999999997
2020-01-20,pre,23485.0,12789.0,47702.17999999999,18430.5
2020-01-27,pre,25084.0,13314.0,43634.56,15369.67
2020-02-03,pre,26909.0,12596.0,78390.57999999999,21849.84
2020-02-10,pre,22120.0,12043.0,48076.78,15747.550000000001
2020-02-17,pre,23012.0,13052.0,64577.26,16776.010000000002
2020-02-24,pre,21640.0,13282.0,52352.46,23929.859999999997
2020-03-02,pre,22853.0,12879.0,44770.03999999999,24001.13
2020-03-09,pre,19060.0,10958.0,42212.93,23261.48
2020-03-16,pre,22658.0,10918.0,38587.98,10752.17
2020-03-23,pre,29086.0,15328.0,38462.2,21890.08
2020-03-30,pre,27983.0,13563.0,51238.86000000001,15704.890000000001
2020-04-06,pre,28710.0,15710.0,52402.91,15551.119999999999
2020-04-13,pre,35999.0,20287.0,74744.77,32069.140000000003
2020-04-20,pre,40804.0,20697.0,93947.87,41649.44
2020-04-27,pre,40435.0,20213.0,86821.54000000001,40653.729999999996
2020-05-04,pre,33749.0,16522.0,68672.99,38551.65000000001
2020-05-11,pre,31578.0,15444.0,79741.61000000002,33757.31
2020-05-18,pre,33682.0,17570.0,73337.18000000001,44733.759999999995
2020-05-25,pre,31748.0,17078.0,65819.69,43129.54000000001
2020-06-01,pre,21557.0,13386.0,48142.770000000004,20447.27
2020-06-08,pre,24348.0,13641.0,64799.41,32867.57
2020-06-15,pre,26373.0,15183.0,60380.36,38388.520000000004
2020-06-22,pre,29438.0,17226.0,65768.98,21654.37
2020-06-29,pre,29312.0,17629.0,79835.39,31985.499999999996
2020-07-06,pre,30163.0,16726.0,81804.77,40211.53
2020-07-13,pre,30492.0,16465.0,78729.97,27936.95
2020-07-20,pre,28910.0,16412.0,86292.84999999999,34499.22
2020-07-27,pre,28740.0,16018.0,77006.94,43340.05
2020-08-03,pre,29642.0,16485.0,76083.90999999999,39950.0
