week,period,C1_pv,C2_pv,T1_pv,T2_pv,C1_gmv,C2_gmv,T1_gmv,T2_gmv
2019-12-30,pre,171329.0,152404.0,211115.0,200414.0,201179.9400000001,180049.83000000007,220093.56000000006,193112.9519047621
2020-01-06,pre,234847.0,182327.0,258237.0,236925.0,299627.3399999996,268433.10000000015,303466.7199999998,249972.65955182092
2020-01-13,pre,232309.0,183334.0,242528.0,227905.0,288639.40999999974,244033.82,307353.1599999998,286964.7041025639
2020-01-20,pre,234312.0,198875.0,321608.0,235899.0,316147.0199999999,253772.45999999993,300038.8999999999,270632.7270129869
2020-01-27,pre,227385.0,182784.0,295975.0,232668.0,274237.4099999999,234332.25,316810.52999999974,250718.01040293038
2020-02-03,pre,198443.0,177423.0,219130.0,224049.0,244629.99999999983,307868.57999999984,280627.88673637196,307605.76393778366
2020-02-10,pre,196486.0,175397.0,253003.0,216663.0,293728.5699999997,278950.96999999986,290987.14000000025,249493.2514285714
2020-02-17,pre,223431.0,183459.0,283434.0,224322.0,305462.31999999995,282707.3599999998,311321.8899999999,303692.9666573296
2020-02-24,pre,240039.0,213769.0,291482.0,249718.0,290535.7099999997,265866.01,315050.28,288819.12611111114
2020-03-02,pre,219489.0,212952.0,272488.0,247829.0,274439.55,264106.31999999983,276134.14999999985,255350.64015873012
2020-03-09,pre,204864.0,233679.0,276533.0,251373.0,297662.6199999996,276721.7199999999,256057.70000000004,271830.40738095227
2020-03-16,pre,243539.0,287661.0,392367.0,315808.0,232165.88999999996,223480.45469964665,229189.6100000003,231970.3338461538
2020-03-23,pre,313368.0,338658.0,457010.0,381421.0,283099.2099999998,273634.0100000001,301280.7899999999,292755.7460606061
2020-03-30,pre,326678.0,345318.0,497008.0,380413.0,295773.96,289089.9699999998,297177.6699999999,276641.25222222216
2020-04-06,pre,323178.0,356058.0,481123.0,388457.0,335069.94721148966,294291.96000000025,290162.88048780477,306328.5581855643
2020-04-13,pre,392072.0,427914.0,606553.0,454981.0,426374.69666666613,376692.993333333,450575.67,421978.0483333331
2020-04-20,pre,398032.0,435865.0,602679.0,461741.0,423770.06142857124,425007.1085714281,439184.2199999992,452141.64567820996
2020-04-27,pre,367725.0,408861.0,543472.0,432188.0,419307.8927141291,383722.7299999997,425781.3672858697,455391.5959307361
2020-05-04,pre,355904.0,391185.0,572686.0,402211.0,388891.99999999977,392330.07215940655,436446.94999999966,417893.9078571423
