week,period,C1_pv,C2_pv,T1_pv,T2_pv,C1_cm,C2_cm,T1_cm,T2_cm
2019-12-30,pre,172073.0,151800.0,210841.0,199453.0,29315.714781595958,35947.696325720404,32977.13487965802,23738.75101819929
2020-01-06,pre,236933.0,181559.0,258295.0,235613.0,34505.403482398,40945.601468346475,35977.69761234701,34191.5550029224
2020-01-13,pre,233835.0,182458.0,242251.0,226282.0,47876.13756359736,41901.75508241687,37096.11451222852,39127.25720908502
2020-01-20,pre,235297.0,198188.0,321493.0,234953.0,37328.78919137471,38033.40115005584,21160.57549869547,37952.43988859346
2020-01-27,pre,227889.0,181722.0,294864.0,231657.0,41647.22158938636,38298.20783108746,37087.91527256253,39109.319036388515
2020-02-03,pre,198485.0,176194.0,218892.0,222952.0,35901.390114455644,48460.329512068616,41818.96351244713,46779.60271292346
2020-02-10,pre,196807.0,174778.0,252758.0,215441.0,45265.41952501134,39924.577269760804,37103.81150048853,30384.651851976367
2020-02-17,pre,223071.0,183223.0,282475.0,223326.0,33663.52252381035,29084.002369930593,36202.271360944964,34652.142624535525
2020-02-24,pre,240228.0,212546.0,290620.0,248788.0,27812.624454238536,27975.659674549428,35016.64061017114,30331.516425486254
2020-03-02,pre,219568.0,212294.0,272778.0,247063.0,31794.470730899186,35901.8593147929,23334.68870023155,26229.79426014769
2020-03-09,pre,205403.0,233191.0,276504.0,251152.0,46162.059576640815,46997.67688444683,41482.80762477139,34541.082118577426
2020-03-16,pre,245015.0,287388.0,392922.0,315548.0,36707.94157394856,40415.03960951872,29803.14173896615,37260.865942625496
2020-03-23,pre,316070.0,339917.0,458187.0,381298.0,31373.204899185217,37146.25455085723,27985.173560611638,38078.81326660369
2020-03-30,pre,328697.0,344728.0,498175.0,379875.0,42906.11838974256,40796.93543200925,36865.48766590357,35963.72661172245
2020-04-06,pre,324457.0,355445.0,482442.0,387946.0,47272.21994968133,50844.83212228133,37185.83896143746,43717.10278934849
2020-04-13,pre,392797.0,427122.0,608449.0,454858.0,60963.84679878233,67104.65001487253,71538.76518094195,64584.950957610105
2020-04-20,pre,400111.0,436190.0,605012.0,461392.0,80408.20434299967,78834.38681921965,82431.62281881084,78930.9417378024
