week,period,bathroom accessories_pv,bathroom cabinets_pv,bathroom fixture parts_pv,bathroom fixtures_pv,bathroom shelves_pv,bathroom vanities and sink consoles_pv,medicine cabinets_pv,towel bars and hooks_pv,towels_pv,vanity stools and benches_pv,vanity tops and side splashes_pv,bathroom accessories_cm,bathroom cabinets_cm,bathroom fixture parts_cm,bathroom fixtures_cm,bathroom shelves_cm,bathroom vanities and sink consoles_cm,medicine cabinets_cm,towel bars and hooks_cm,towels_cm,vanity stools and benches_cm,vanity tops and side splashes_cm
2019-12-30,pre,5772.0,1042.0,13512.0,28377.0,604.0,48055.0,2833.0,3529.0,147.0,1287.0,520.0,836.4387847541915,90.72661195515829,21.2148104987144,3809.055322286342,170.1777856256139,9075.398400939976,728.0842723291919,154.87059665698996,8.154607863969122,239.1095032876583,93.66855550821566
2020-01-06,pre,7293.0,1384.0,20563.0,38298.0,676.0,61448.0,3435.0,4601.0,202.0,1110.0,743.0,1334.2981073039819,336.6148312496335,408.69266666959686,6824.392737921385,120.08011235231574,17048.881987187608,507.70689375072743,286.51904050805837,52.353575053054,160.10804289923772,27.427683947881096
2020-01-13,pre,9177.0,1397.0,23213.0,44039.0,696.0,72528.0,4456.0,5407.0,437.0,1485.0,759.0,1573.0822146521514,407.65362005872146,962.763942814936,7009.41495560979,82.11619155111273,20866.269910235198,1014.5317642907822,682.6484299430883,78.45818272389874,263.2763848190287,-1.6889799440933582
2020-01-20,pre,8524.0,1381.0,21867.0,45637.0,620.0,77187.0,5005.0,5697.0,318.0,1164.0,935.0,1698.0282449867398,41.58640321542032,517.0682730838114,3575.8180946800267,136.22633323456222,17217.66726134307,252.97492671215286,568.4083145134164,32.39942640736203,293.52936371961766,-64.94814140695661
2020-01-27,pre,7307.0,1344.0,21136.0,42232.0,577.0,61948.0,3959.0,5072.0,112.0,862.0,596.0,1059.3641240326683,95.44891800313485,304.6930228252528,2000.8316205091528,111.33993110077853,15603.339985298135,3639.6622603215706,484.5408254976611,5.329979213526741,196.42906380383326,0.0
2020-02-03,pre,6868.0,1425.0,11911.0,32777.0,568.0,66091.0,3809.0,3594.0,97.0,881.0,772.0,1563.9865685540485,1015.9027044753733,519.3719907526506,7148.176672338621,31.431776999750696,21693.33379432896,1809.33797745744,1399.148712546612,19.961317509807316,187.83607137635775,-23.075457910440853
2020-02-10,pre,7230.0,1491.0,13709.0,36064.0,526.0,68173.0,3937.0,4060.0,95.0,850.0,694.0,1190.3554600286568,229.0702261122957,674.911552781962,5781.432044791261,102.55674137060294,33812.72239174825,4199.981854551704,682.7218235084017,5.932625858495076,483.34788209232744,45.592113590691824
2020-02-17,pre,7071.0,1509.0,12765.0,32870.0,642.0,65392.0,4661.0,3596.0,81.0,767.0,1027.0,1566.885650947733,-404.2447236791389,948.687331987196,821.2859609626144,202.37917527998786,9753.332497108051,2622.5418724580004,981.3724083584699,-34.408584870101194,-939.1560166047133,154.00716119084984
2020-02-24,pre,8135.0,1290.0,18708.0,42698.0,624.0,66273.0,4031.0,5234.0,92.0,779.0,1022.0,1164.2495973471403,100.95684779772489,1235.675389508018,5885.72300489975,40.32721302765897,22616.4381259563,2268.3439816275873,568.5026142897168,38.59799519025249,424.7589965306594,-64.58659435404084
2020-03-02,pre,8989.0,1403.0,17876.0,42476.0,800.0,68739.0,3828.0,5570.0,368.0,850.0,756.0,1599.1101223569642,604.1338795105974,354.9004454768059,4266.182865334397,27.81929622402574,20470.08912367001,2168.735992264993,935.1034782149284,-2.8892065758432004,72.41893894689964,41.624238636089544
