week,period,bathroom accessories_pv,bathroom cabinets_pv,bathroom fixture parts_pv,bathroom fixtures_pv,bathroom shelves_pv,bathroom vanities and sink consoles_pv,medicine cabinets_pv,towel bars and hooks_pv,towels_pv,vanity stools and benches_pv,vanity tops and side splashes_pv,bathroom accessories_gmv,bathroom cabinets_gmv,bathroom fixture parts_gmv,bathroom fixtures_gmv,bathroom shelves_gmv,bathroom vanities and sink consoles_gmv,medicine cabinets_gmv,towel bars and hooks_gmv,towels_gmv,vanity stools and benches_gmv,vanity tops and side splashes_gmv
2019-12-30,pre,5772.0,1042.0,13512.0,28377.0,604.0,48055.0,2833.0,3529.0,147.0,1287.0,520.0,4836.519999999999,601.5699999999999,1973.3300000000002,24148.850000000002,584.99,147101.93,3203.09,1500.83,72.76,1078.13,618.96
2020-01-06,pre,7293.0,1384.0,20563.0,38298.0,676.0,61448.0,3435.0,4601.0,202.0,1110.0,743.0,7098.3899999999985,1476.57,6966.65,55251.91,664.85,194685.21000000002,4018.46,2966.87,314.4,1643.95,131.98
2020-01-13,pre,9177.0,1397.0,23213.0,44039.0,696.0,72528.0,4456.0,5407.0,437.0,1485.0,759.0,7348.399999999999,1813.4299999999998,4893.9400000000005,47022.520000000004,411.94000000000005,224286.27,8286.36,4614.54,453.2900000000001,1529.0800000000002,774.19
2020-01-20,pre,8524.0,1381.0,21867.0,45637.0,620.0,77187.0,5005.0,5697.0,318.0,1164.0,935.0,7744.339999999998,738.55,7857.369999999999,43764.810000000005,635.92,208044.28,17924.52,3892.98,140.02,3028.8900000000003,612.97
2020-01-27,pre,7307.0,1344.0,21136.0,42232.0,577.0,61948.0,3959.0,5072.0,112.0,862.0,596.0,8476.089999999997,284.0,5026.299999999999,42787.57000000001,730.1700000000001,217598.94999999998,14488.670000000002,5338.649999999999,98.31,1116.95,0.0
2020-02-03,pre,6868.0,1425.0,11911.0,32777.0,568.0,66091.0,3809.0,3594.0,97.0,881.0,772.0,7817.879999999999,5343.299999999999,8277.109999999999,60714.780000000006,560.6700000000001,243193.86000000002,10132.1,6434.267152069669,79.96000000000001,917.15,615.97
2020-02-10,pre,7230.0,1491.0,13709.0,36064.0,526.0,68173.0,3937.0,4060.0,95.0,850.0,694.0,6652.599999999998,3806.11,11452.96,49655.21,290.6,234721.21,18430.190000000002,3762.9600000000005,62.96,1906.5700000000002,802.97
2020-02-17,pre,7071.0,1509.0,12765.0,32870.0,642.0,65392.0,4661.0,3596.0,81.0,767.0,1027.0,8495.969999999998,1264.8400000000001,7908.549999999997,50884.04,1087.11,255512.97,15131.38,4865.8099999999995,101.98,1586.97,1404.99
2020-02-24,pre,8135.0,1290.0,18708.0,42698.0,624.0,66273.0,4031.0,5234.0,92.0,779.0,1022.0,7899.499999999996,3385.01,13141.399999999998,50520.05,660.35,293045.23,14619.380000000001,3793.51,239.89999999999998,2152.7400000000002,90.99000000000001
2020-03-02,pre,8989.0,1403.0,17876.0,42476.0,800.0,68739.0,3828.0,5570.0,368.0,850.0,756.0,9052.890000000001,3308.17,7990.739999999998,44912.83,380.98,261661.58000000002,16089.57,6745.96,34.99,636.67,388.99
2020-03-09,pre,9154.0,1381.0,19247.0,40818.0,795.0,68193.0,3096.0,5156.0,598.0,659.0,649.0,8960.909999999996,3517.59,11039.619999999999,54796.72000000001,499.94,220181.49000000002,14426.749999999998,3398.4300000000003,305.97,2947.49,429.0
2020-03-16,pre,12905.0,1239.0,18948.0,40106.0,1036.0,65422.0,2948.0,6071.0,1486.0,900.0,515.0,7924.099999999998,3866.06,7070.0599999999995,43033.85,295.97,188254.03,22363.84,6726.709999999998,45.980000000000004,4699.17,0.0
2020-03-23,pre,15068.0,1415.0,15520.0,40340.0,1079.0,52733.0,3590.0,6001.0,3553.0,1345.0,585.0,8750.779999999997,3548.6600000000003,9728.779999999999,37049.69,1087.95,188743.18,8987.0,4862.58,887.71,2058.38,0.0
2020-03-30,pre,15157.0,1490.0,19872.0,42458.0,1326.0,50191.0,2944.0,6442.0,3893.0,1142.0,777.0,7918.579999999997,3272.7599999999998,8813.499999999998,47665.1,877.95,221458.59999999998,9592.1,4726.389999999999,121.98,1770.5600000000002,1431.0
