week,period,dining chairs_pv,dining tables_pv,dining chairs_gmv,dining tables_gmv
2019-12-30,pre,19428.0,10322.0,42530.37,13813.21
2020-01-06,pre,23462.0,12821.0,34345.3,11923.859999999999
2020-01-13,pre,20650.0,12047.0,61947.83,29454.73
2020-01-20,pre,23504.0,12803.0,46403.23999999999,20402.14
2020-01-27,pre,25057.0,13322.0,43630.04,15369.67
2020-02-03,pre,26832.0,12643.0,78390.58,21849.84
2020-02-10,pre,22160.0,12185.0,47217.37000000001,15747.55
2020-02-17,pre,23016.0,13140.0,64577.26,17519.94
2020-02-24,pre,21703.0,13326.0,52901.060000000005,24348.059999999998
2020-03-02,pre,22958.0,12925.0,45436.03999999999,24400.329999999998
2020-03-09,pre,19172.0,10980.0,42656.93,23261.48
2020-03-16,pre,22845.0,10967.0,39193.68,10752.17
2020-03-23,pre,29359.0,15320.0,38966.25,22059.48
2020-03-30,pre,28245.0,13547.0,51731.270000000004,15704.89
2020-04-06,pre,28952.0,15744.0,52978.57,16048.119999999999
2020-04-13,pre,36280.0,20492.0,75878.65999999999,33263.44
2020-04-20,pre,41330.0,20837.0,93947.87000000001,41649.44
2020-04-27,pre,40791.0,20391.0,85228.54,41342.28
2020-05-04,pre,34003.0,16509.0,68791.29000000001,39151.65
2020-05-11,pre,31786.0,15495.0,77969.60999999999,33757.31
2020-05-18,pre,33827.0,17700.0,72714.82999999999,43993.46000000001
2020-05-25,pre,31776.0,17018.0,64709.119999999995,43323.54
2020-06-01,pre,21532.0,13569.0,46372.770000000004,22666.090000000004
2020-06-08,pre,24238.0,13713.0,63961.77,32867.57
2020-06-15,pre,26105.0,15351.0,60260.36,37519.520000000004
2020-06-22,pre,29210.0,17535.0,66093.0,26240.15
2020-06-29,pre,29146.0,18093.0,81129.25,30337.5
2020-07-06,pre,29852.0,16891.0,80018.37,40211.530000000006
2020-07-13,pre,30303.0,16545.0,78729.97,27154.949999999997
2020-07-20,pre,28748.0,16403.0,85192.85,35351.469999999994
2020-07-27,pre,28637.0,15975.0,77006.94,42358.049999999996
2020-08-03,pre,29401.0,16460.0,75600.29,40415.66
2020-08-10,pre,33761.0,18827.0,82919.62,53273.81
2020-08-17,pre,35045.0,21304.0,77412.95999999999,47168.299999999996
2020-08-24,pre,33263.0,21280.0,93944.72,43223.409999999996
2020-08-31,pre,33339.0,20171.0,91754.67,43240.44
2020-09-07,pre,42562.0,25049.0,105815.5,43929.07
2020-09-14,pre,43018.0,21825.0,81812.41999999998,35826.31
2020-09-21,pre,34439.0,18555.0,75611.31999999999,35468.36
2020-09-28,pre,33462.0,17630.0,78355.63,49481.35
2020-10-05,pre,34324.0,18005.0,77980.84,42911.0
2020-10-12,pre,32955.0,17854.0,69016.98,39386.35
2020-10-19,pre,29247.0,17292.0,86785.0,28892.56
2020-10-26,pre,26065.0,16840.0,91522.28000000001,38905.03
2020-11-02,pre,27020.0,17782.0,95328.81,42358.0
2020-11-09,pre,31765.0,20358.0,88941.59,67501.79000000001
2020-11-16,pre,34019.0,21484.0,112545.95999999999,58682.0
2020-11-23,pre,36688.0,24020.0,97244.95999999999,73911.05234604106
2020-11-30,pre,32664.0,17480.0,76682.90000000001,55144.41
2020-12-07,pre,27553.0,15970.0,90173.42,58179.0
2020-12-14,pre,26490.0,15322.0,65328.54,23843.0
2020-12-21,pre,24175.0,14525.0,63952.83000000001,31006.04
2020-12-28,pre,37220.0,23149.0,67617.76000000001,43526.99
2021-01-04,pre,32140.0,18572.0,57233.67999999999,50906.65
2021-01-11,pre,35692.0,18787.0,72455.01,42306.57
2021-01-18,pre,39569.0,19887.0,79216.95999999999,38222.63
2021-01-25,pre,33335.0,20574.0,68649.42,34162.59
2021-02-01,pre,31928.0,18754.0,63174.049999999996,33783.0
2021-02-08,pre,30857.0,19229.0,80293.19,41312.61
2021-02-15,pre,41018.0,21669.0,86363.0,42691.0
2021-02-22,pre,36172.0,19077.0,70382.23000000001,38375.14
2021-03-01,pre,28426.0,17995.0,81767.48,39220.41
2021-03-08,pre,28764.0,19079.0,84223.8,57373.0
2021-03-15,pre,30737.0,19364.0,96091.23000000001,52584.18
2021-03-22,pre,27932.0,17410.0,88025.18,53185.41
2021-03-29,pre,25404.0,16470.0,78664.0,39211.88
2021-04-05,pre,28248.0,16955.0,84637.14,46101.0
2021-04-12,pre,31929.0,18841.0,97309.65000000001,57124.86
2021-04-19,pre,34936.0,21960.0,91343.15,51630.79
2021-04-26,pre,30702.0,21246.0,99126.44,66577.88
2021-05-03,pre,32812.0,19154.0,107582.51999999999,56403.060000000005
2021-05-10,pre,31781.0,18682.0,88633.53,56046.39
2021-05-17,pre,27652.0,18598.0,80849.04,47321.0
2021-05-24,pre,29900.0,20830.0,115293.36,43252.937475728155
2021-05-31,pre,27585.0,21638.0,82645.95,74451.85
2021-06-07,pre,26110.0,19672.0,66833.45,56773.979999999996
2021-06-14,pre,26636.0,24007.0,82203.0,76859.28
2021-06-21,pre,28226.0,25335.0,77506.32,81593.29
2021-06-28,pre,30142.0,26648.0,121220.91999999998,73010.48
2021-07-05,pre,31183.0,28111.0,132106.68,93764.86000000002
2021-07-12,pre,30773.0,25380.0,86120.42,79310.79999999999
2021-07-19,pre,29442.0,25104.0,71196.67,68746.63
2021-07-26,pre,30587.0,25850.0,100637.79000000001,88718.63
