week,period,C1_pv,C2_pv,T1_pv,T2_pv,C1_gmv,C2_gmv,T1_gmv,T2_gmv
2019-12-30,pre,172073.0,151800.0,210841.0,199453.0,204985.0200000001,181346.46000000002,219747.21999999997,194658.97190476177
2020-01-06,pre,236933.0,181559.0,258295.0,235613.0,297492.6899999998,264769.3800000001,303591.2499999997,246293.21955182092
2020-01-13,pre,233835.0,182458.0,242251.0,226282.0,290478.5499999998,243722.69000000006,305716.82999999984,287165.4841025638
2020-01-20,pre,235297.0,198188.0,321493.0,234953.0,316284.54999999976,250644.2500000001,297837.3799999998,269326.627012987
2020-01-27,pre,227889.0,181722.0,294864.0,231657.0,275765.5199999997,233421.10999999987,315663.4999999997,251090.79040293046
2020-02-03,pre,198485.0,176194.0,218892.0,222952.0,245925.0999999999,307981.1899999996,279283.406736372,304767.89393778396
2020-02-10,pre,196807.0,174778.0,252758.0,215441.0,294746.7299999997,276769.1499999996,289121.35000000015,251970.99142857158
2020-02-17,pre,223071.0,183223.0,282475.0,223326.0,306077.54,279989.9499999997,309533.69999999984,304015.67665732966
2020-02-24,pre,240228.0,212546.0,290620.0,248788.0,290771.68999999977,262592.76000000007,306537.8299999997,288698.84611111094
2020-03-02,pre,219568.0,212294.0,272778.0,247063.0,271465.6100000001,262118.1000000001,274985.87999999983,258275.89015873018
2020-03-09,pre,205403.0,233191.0,276504.0,251152.0,298748.51999999996,275323.39000000013,256453.58000000025,270413.34738095244
2020-03-16,pre,245015.0,287388.0,392922.0,315548.0,232865.24000000005,221010.24469964672,232887.2500000003,231782.9338461541
2020-03-23,pre,316070.0,339917.0,458187.0,381298.0,283679.7700000001,270545.39000000025,297403.7899999998,297293.0560606058
2020-03-30,pre,328697.0,344728.0,498175.0,379875.0,297492.62999999983,285972.61000000016,295695.71999999956,277543.1422222221
2020-04-06,pre,324457.0,355445.0,482442.0,387946.0,329952.4272114899,291556.55000000005,289332.510487805,306429.4781855644
2020-04-13,pre,392797.0,427122.0,608449.0,454858.0,425591.52666666626,371745.7033333329,450590.1899999999,426062.7483333328
2020-04-20,pre,400111.0,436190.0,605012.0,461392.0,424759.98142857087,425488.9285714281,439604.57999999955,450571.83567821037
2020-04-27,pre,368808.0,409036.0,544957.0,431911.0,418536.0227141294,380738.38999999984,423497.1272858701,455315.40593073535
2020-05-04,pre,357225.0,390597.0,574291.0,401356.0,392147.46999999956,388361.2621594066,436877.96999999945,414826.5278571424
2020-05-11,pre,372355.0,380285.0,548950.0,425301.0,451680.2599999996,416468.79000000027,456511.92999999935,404651.5809722221
2020-05-18,pre,305147.0,282291.0,340239.0,320209.0,527863.6299999997,382425.33999999944,442137.8099999993,420540.1799999991
2020-05-25,pre,252483.0,231626.0,269343.0,271170.0,490253.94999999966,381696.7100000001,441604.8299999999,425067.44999999966
2020-06-01,pre,197368.0,202526.0,223683.0,218845.0,360951.7799999998,334355.6599999996,343707.9799999999,327882.6499999999
2020-06-08,pre,205313.0,217339.0,236887.0,239067.0,361737.11999999953,342110.8099999997,333716.1800000002,372164.5199999998
2020-06-15,pre,243015.0,220746.0,270899.0,240959.0,363137.0499999998,319317.71000000014,364654.01999999967,339050.2475
2020-06-22,pre,241763.0,229788.0,287230.0,262692.0,369008.7499999998,363019.1099999995,384838.9099999995,380854.14999999973
2020-06-29,pre,241922.0,225719.0,283821.0,269857.0,425536.44090909074,331596.9700000001,380887.64545454545,409997.35999999987
2020-07-06,pre,242276.0,229239.0,262718.0,270696.0,403960.6301896728,390158.53,402761.93151028693,404835.9074798151
2020-07-13,pre,240860.0,243811.0,266342.0,274241.0,385961.98,365125.04000000015,393906.6499999998,397483.4199999998
2020-07-20,pre,222035.0,239401.0,244373.0,255018.0,375653.79608537105,351511.31999999995,402082.8939146292,414791.9399999998
2020-07-27,pre,226883.0,226712.0,306039.0,251318.0,375970.1999999999,355262.21000000014,414067.0600000003,357005.1699999999
2020-08-03,pre,257583.0,223496.0,307441.0,251930.0,411756.09000000014,348215.74999999994,400995.7799999999,392655.2599999997
2020-08-10,pre,263967.0,237692.0,275086.0,276460.0,427190.33999999985,404795.3,429748.2299999999,446053.0033005804
2020-08-17,pre,244571.0,244506.0,280791.0,285636.0,424406.88999999996,390735.51999999996,423283.6800000001,421244.10999999946
2020-08-24,pre,262724.0,264047.0,326267.0,399883.0,466510.4259453302,397529.5199999999,494745.80999999976,445573.85999999964
2020-08-31,pre,258373.0,245893.0,302833.0,347053.0,450243.3299999999,371654.1500000001,444170.5734112612,469522.50999999954
2020-09-07,pre,299762.0,271944.0,327987.0,426097.0,453076.9570453173,366956.19000000006,435026.9625000001,507834.99964538973
2020-09-14,pre,315374.0,335097.0,406487.0,593711.0,350860.8499999998,337939.82999999996,401081.00000000006,434430.76999999984
2020-09-21,pre,337024.0,355771.0,420638.0,482317.0,416867.97,383692.73000000004,412810.2699999998,431424.9400000002
2020-09-28,pre,317124.0,329693.0,368384.0,480791.0,410123.7499999997,338421.3299999997,425102.4099999995,434185.5299999995
2020-10-05,pre,335864.0,326442.0,375792.0,548127.0,407868.36999999965,359134.60999999975,418385.7199999994,416716.2599999993
2020-10-12,pre,347339.0,317786.0,367300.0,464434.0,411738.5299999995,359448.54999999964,411008.67999999964,416467.40999999957
2020-10-19,pre,321235.0,286778.0,406374.0,328068.0,394540.55999999965,338612.99999999965,443189.0299999994,426582.69999999943
2020-10-26,pre,322136.0,254470.0,327288.0,294270.0,433488.09999999945,342196.57999999967,394422.08499999956,425058.22999999963
2020-11-02,pre,288243.0,236930.0,258984.0,270838.0,411895.5199999996,349390.0899999996,378114.0599999993,452355.7799999994
2020-11-09,pre,313977.0,271782.0,317891.0,304540.0,426169.7199999996,389379.10999999964,451108.93999999965,471049.7799999996
2020-11-16,pre,297724.0,275445.0,321575.0,305881.0,503137.06999999937,427554.3999999997,463508.6199999993,557737.0499999995
2020-11-23,pre,301465.0,277055.0,325388.0,309598.0,543534.3699999992,427673.8699999994,530951.1099999994,552225.7799999996
2020-11-30,pre,291239.0,279662.0,295502.0,288621.0,547663.3174999997,455043.5799999993,527936.4024999989,510669.3599999991
2020-12-07,pre,273370.0,250584.0,262125.0,258996.0,456269.4899999994,384719.8799999993,460498.8999999993,467456.4145291786
2020-12-14,pre,254948.0,236197.0,247575.0,251272.0,392393.4599999997,320064.4699999995,387996.91999999975,409030.4199999996
2020-12-21,pre,260339.0,226743.0,256765.0,251880.0,287326.2599999999,248487.75999999995,288763.7499999996,308095.50999999983
2020-12-28,pre,369663.0,308797.0,365717.0,354544.0,522334.7899999993,370136.6432398748,475082.3867601237,450938.21999999956
2021-01-04,pre,328152.0,279648.0,329839.0,324439.0,475444.63999999943,382156.1799999998,430441.4599999994,405944.13999999966
2021-01-11,pre,351541.0,284018.0,332726.0,323364.0,522875.83867256594,426244.3299999996,434477.55199999956,500986.1599999996
2021-01-18,pre,376068.0,305779.0,374751.0,348182.0,459337.7999999996,413728.7999999997,476869.3799999994,487821.769999999
2021-01-25,pre,367026.0,339282.0,408694.0,361587.0,452985.8629850741,451975.78999999963,465586.7666666661,484310.2849999997
2021-02-01,pre,349985.0,285586.0,371164.0,339796.0,479682.42999999964,394358.0099999998,427873.0299999996,459541.01999999955
2021-02-08,pre,336228.0,263394.0,366780.0,315702.0,433361.52999999933,367136.15999999957,420923.1299999995,489179.24999999965
2021-02-15,pre,364404.0,278417.0,399396.0,348445.0,488012.8999999997,377435.55999999965,457765.95999999926,471839.56999999966
